file,name_ko,cat20,prompt
"refrigerator-01","냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a refrigerator"
"side-by-side-refrigerator-01","양문형냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a side by side refrigerator"
"four-door-refrigerator-01","4도어냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a four door refrigerator"
"kimchi-refrigerator-01","김치냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a kimchi refrigerator"
"kimchi-standing-refrigerator-01","스탠드김치냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a kimchi standing refrigerator"
"kimchi-chest-refrigerator-01","뚜껑형김치냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a kimchi chest refrigerator"
"mini-refrigerator-01","미니냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a mini refrigerator"
"water-purifier-refrigerator-01","정수기냉장고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a water purifier refrigerator"
"freezer-01","냉동고","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a freezer"
"wine-cellar-01","와인셀러","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a wine cellar"
"washing-machine-01","세탁기","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a washing machine"
"top-load-washer-01","통돌이세탁기","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a top load washer"
"drum-washing-machine-01","드럼세탁기","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a drum washing machine"
"clothes-dryer-01","건조기","대형가전","A bright clean premium 3D icon, isometric, soft studio lighting, subtle soft drop shadow, transparent background, glossy rounded style, centered, 1:1, no text no logo no watermark, of a clothes dryer"
